序號,社福團體名稱,愛心碼,社福團體簡稱,社福團體統編,縣市
792,社團法人嘉義縣精神康扶之友協會,9890,嘉康扶之友,97949297,嘉義縣
793,財團法人天主教光仁社會福利基金會,988,光仁社福,13539242,臺北市
794,社團法人台灣彩虹愛家生命教育協會,199907,彩虹愛家,29215439,新北市
795,社團法人臺北市支持流浪貓絕育計畫協會,52668,TNR協會,31825507,臺北市
796,社團法人台中市晚晴婦女協會,5785,台中晚晴,05562388,臺中市
797,財團法人台灣痲瘋救濟基金會,1954,台痲,00985079,臺北市
798,社團法人中華家庭暨社區展望協會,9949,FC,25879949,高雄市
799,社團法人台南市慈光身障協會,3799,慈光身障,20259049,臺南市
800,財團法人聯合醫學基金會,3469595,,76239806,桃園市
801,佳楠愛心慈善會,11520,佳楠慈善會,10790658,臺南市
802,社團法人台灣全球和平青年協進會,17168,和青會,26889889,臺中市
803,啟明權益促進會,998,啟明權促會,19341598,臺北市
804,財團法人南投縣私立炫寬愛心教養家園,545,炫寬,74870137,南投縣
805,社團法人台灣優活山林協會,94168,優活山林,31549469,桃園市
806,財團法人阿寶教育基金會,16885,阿寶基金會,99428575,宜蘭縣
807,財團法人台中市私立真愛社會福利慈善事業基金會,2020,真愛基金會,10910627,臺中市
808,台灣排球運動協會,54321,台排協,10323633,臺北市
809,春陽協會,95940,春陽協會,08211302,高雄市
810,中華民國紅十字會新高雄分會,88168,新高雄紅會,85930625,高雄市
811,社團法人高雄市身心障礙團體聯合總會,2014,高市身總,17006648,高雄市
812,社團法人臺中市動靜皆宜童軍發展協會,8623,,38808623,臺中市
813,中華新時代家園關懷協會,8910,新時代家園,92018288,高雄市
814,希望社會服務協會,90370,寰宇希望,97980851,臺北市
815,社團法人南投縣智障者家長協會,5098,南投智協,77394988,南投縣
816,財團法人屏東縣私立畢嘉士社會福利基金會,17178,畢嘉士,37635574,屏東縣
817,社團法人台灣微客公益行動協會,103,微客公益,31885477,新北市
818,台灣金山財神廟慈善會,5888,,17607163,新北市
819,社團法人台灣線上教育發展協會,345,LIS,42074741,
820,財團法人台北市基督徒救世會社會褔利事業基金會,0770223,基督救世會,01019978,臺北市
821,社團法人中華民國愛滋感染者權益促進會,99999,權促會,81589438,臺北市
822,財團法人私立天主教中華聖母社會福利慈善事業基金會,365,聖母基金會,09017615,嘉義市
823,財團法人台南市私立朝興社會福利慈善事業基金會,788,朝興啟能中,15566031,臺南市
824,社團法人中華樂扶社會服務協會,9195,中華樂扶,10535714,新北市
825,財團法人信望愛臍帶血基金會,876945,信望愛臍血,15583524,新北市
826,財團法人臺灣省天主教會新竹教區,5566,竹南聖家,78952644,苗栗縣
827,財團法人高雄市私立基督教山地育幼院,6891054,六龜育幼院,07887101,高雄市
828,財團法人台中市私立群園社會福利基金會,5678,群園基金會,77952391,臺中市
829,財團法人基督教都市人工作群社會福利事業基金會,2259,都市人基金,01052259,新北市
830,社團法人中華民國紅十字會台灣省台中市支會,4518,台中市紅會,52000425,臺中市
831,財團法人基督教救世軍,52947,救世軍,04174967,臺北市
832,社團法人桃園縣失智症關懷協會,8185,失智症協會,26599930,桃園市
833,社團法人新北市知識重建促進會,0920,永和社大,13570550,新北市
834,社團法人桃園縣自閉症協進會,818772,桃園自閉症,83316878,桃園市
835,社團法人嘉義市脊髓損傷者協會,5180,嘉市脊協,20241219,嘉義市
836,財團法人桃園縣怡仁愛心基金會,2488772,怡仁基金會,02488772,桃園市
837,社團法人台灣美樂家慈善關懷協會,52720,美樂家慈協,99974095,臺北市
838,社團法人台灣身心機能活化運動協會,8511,翠華園,21322674,高雄市
839,社團法人台灣世界耕義會,977,耕義會,38957708,臺中市
840,社團法人中華民國基督教女青年會協會台灣省台南市支會,2007738,ywca,69935498,臺南市
841,關懷生命協會,220253,台東懷生,10727255,臺東縣
842,財團法人臺灣省花蓮縣基督教宣教士差會附屬花蓮畢士大教養院,1212,,94805607,花蓮縣
843,康復之友協會,7017885,北市康,21002905,臺北市
844,財團法人基督教宇宙光全人關懷機構,276,宇宙光,04176276,臺北市
845,中華民國康復之友聯盟,861108,康盟,81593545,臺北市
846,財團法人愚人之友社會福利慈善事業基金會,921,愚人之友,19311187,南投縣
847,社團法人台北市生命線協會,95958,,04144367,臺北市
848,埔基醫療財團法人,539,埔基,62301126,南投縣
849,惜緣愛心協會,8992,新北市惜緣,30374770,新北市
850,私立財團法人天主教澎湖教區附設惠民啟智中心,9261790,惠民啟智,77181541,澎湖縣
851,中華民國發展遲緩兒童早期療育協會,1122,早療協會,19605612,花蓮縣
852,台灣心境探索學會,33299,,26890289,雲林縣
853,中華民國微光社會福利協會,2999,微光社福協,02764431,桃園市
854,臺灣酒駕防制社會關懷協會,1959,,38527546,臺北市
855,財團法人誠致教育基金會,6161,,26641830,新北市
856,社團法人台北市新活力自立生活協會,1210203,新活力,48874517,臺北市
857,社團法人中華金龍醫濟學甲功德會,3999,醫濟學甲,41452512,桃園市
858,社團法人台灣阿甘精神發展協會,5217,阿甘協會,48674497,臺北市
859,財團法人桃園縣私立寶貝潛能發展中心,329,寶貝中心,21521250,桃園市
860,沙爾德聖保祿修女會醫療財團法人,386,聖保祿醫院,43610306,桃園市
861,財團法人桃園縣私立安康啟智教養院,520530,安康教養院,95944036,桃園市
862,私立臺北醫學大學,5281,北醫,03724606,臺北市
863,社團法人中華民國星橋愛心服務協會,899,星橋,77537613,臺北市
864,台灣環境保護聯盟,456789,環保聯盟,18038746,臺北市
865,社團法人台北市角落關懷協會,9789,角落挑戰者,17144023,臺北市
866,社團法人雲林縣老人長期照護協會,0531026,雲老長照,19310461,雲林縣
867,社團法人台中市自閉症教育協進會,1127,自閉症協會,05557771,臺中市
868,社團法人中華人權協會,620,CAHR,04137345,臺北市
869,財團法人桃園縣私立龍潭啟智教養院,0916,龍潭啟智,14539760,桃園市
870,社團法人彰化縣喜樂小兒麻痺關懷協會,820,喜樂小麻,99676912,彰化縣
871,社團法人台灣陽光婦女協會,85885,,18247321,臺中市
872,社團法人桃園縣拾穗關懷服務協會,2615372,拾穗協會,26153727,桃園市
873,社團法人高雄市腦性麻痺服務協會,29636,,19903160,高雄市
874,社團法人台灣希望之芽協會,1219,希望之芽,26044051,高雄市
875,身心障礙服務推展協會,2099,,00998428,臺北市
876,社團法人中華民國牧愛生命協會,1073911,牧愛,21303064,高雄市
877,財團法人桃園縣私立庭芳啟智教養院,188,庭芳教養院,73765538,桃園市
878,台灣同伴動物扶助協會,52937,TCASA,39915621,臺中市
879,財團法人臺中市私立惠明盲校,111111,惠明盲校,05765074,臺中市
880,財團法人中華啟能基金會,220,中華啟能基,04199664,新北市
881,財團法人臺灣省私立臺中仁愛之家,2222,,52016600,臺中市
882,財團法人慈懷社會福利基金會,8591,慈懷基金會,77020237,宜蘭縣
883,財團法人台灣兒童暨家庭扶助基金會附設雲林縣私立家扶希望學園,6361712,雲林希望,25306773,雲林縣
884,財團法人台灣兒童暨家庭扶助基金會附設雲林縣私立家扶發展學園,6361716,雲林發展,25306788,雲林縣
885,財團法人天主教台南縣私立蘆葦啟智中心,2020520,蘆葦啟智,97964070,臺南市
886,財團法人天主教失智老人社會福利基金會,858,關心失智症,73990893,臺北市
887,社團法人台南市新世代社會福利關懷協會,3037980,新世代協會,10792608,臺南市
888,財團法人台中市私立甘霖社會福利慈善事業基金會,1385,,21448245,臺中市
889,財團法人婦女新知基金會,3899,婦女新知,00968178,臺北市
890,財團法人台中市私立弘毓社會福利基金會,313,弘毓基金會,80917742,臺中市
891,社團法人台中市智障者家長協會,7485,中智協,74850316,臺中市
892,財團法人高雄市私立永安兒童之家,7876081,永安兒家,99184445,高雄市
893,社團法人嘉義市智障福利協進會,791202,智障協會,76830126,嘉義市
